image_urls,station_url,genre,images,name
http://resources.live24.gr/resources/images/stations/d3f7443c-f7de-4190-bd47-d871cd836766.png,/radio/generic.jsp?sid=175,Λαϊκά,"[{'url': 'http://resources.live24.gr/resources/images/stations/d3f7443c-f7de-4190-bd47-d871cd836766.png', 'checksum': '13d34a9060d534e0f0bc9f8b6dc4a5a4', 'path': 'full/041342f1f59a941c9bbf9107ec65a51e76657d3b.jpg'}]",Ράδιο Τύρναβος 103.8
http://resources.live24.gr/resources/images/stations/ca5ac5ae-01e3-4f2c-9911-6fae35e9b365.jpg,/radio/generic.jsp?sid=169,Διάφορα Ελληνικά,"[{'url': 'http://resources.live24.gr/resources/images/stations/ca5ac5ae-01e3-4f2c-9911-6fae35e9b365.jpg', 'checksum': '6d2d277a74603ad8970a3b6e15f69992', 'path': 'full/c32f5351c03359707e763377ce6229db8d56821d.jpg'}]",Ράδιο Πόλις 99.4
http://resources.live24.gr/resources/images/stations/d6c6230e-49a1-4270-b69f-4e67d64f5a06.jpg,/radio/generic.jsp?sid=1885,Λαϊκά,"[{'url': 'http://resources.live24.gr/resources/images/stations/d6c6230e-49a1-4270-b69f-4e67d64f5a06.jpg', 'checksum': '58f4cacfa312b2e95bcc01c7d4cda92a', 'path': 'full/524b9dc7e81377debfa93f7e02c4d4739a37bcec.jpg'}]",Ελληνική Ραδιοφωνία Μάνα Ελλάδα 
http://resources.live24.gr/resources/images/stations/e2101130-7228-465d-b531-9ddf5e61ffaf.jpg,/radio/generic.jsp?sid=2679,Λαϊκά,"[{'url': 'http://resources.live24.gr/resources/images/stations/e2101130-7228-465d-b531-9ddf5e61ffaf.jpg', 'checksum': 'ec9c3ae70f1a77a36feddd2cb2585a3f', 'path': 'full/c5c9fc12b6b956efb00074bb928e75e3c1374e98.jpg'}]",Σφηνάκια FM 
http://resources.live24.gr/resources/images/stations/ad3093b8-c69c-45a6-b856-a9a725252596.png,/radio/generic.jsp?sid=2673,Διάφορα Ελληνικά,"[{'url': 'http://resources.live24.gr/resources/images/stations/ad3093b8-c69c-45a6-b856-a9a725252596.png', 'checksum': '8a5adaa4c7e609171d7a13ac840e97bc', 'path': 'full/12369c7257dbba6663c3c41636eb936846f471e6.jpg'}]",Διάλογος Radio 
http://resources.live24.gr/resources/images/stations/138080fb-90ea-4c6d-a67a-67708f5bd497.png,/radio/generic.jsp?sid=3118,Διάφορα Ελληνικά,"[{'url': 'http://resources.live24.gr/resources/images/stations/138080fb-90ea-4c6d-a67a-67708f5bd497.png', 'checksum': '3eb344e4a57be278dd0929ee31454f76', 'path': 'full/d69ec274a167737233a0b7ae2b9d2ee0a4992132.jpg'}]",Ράδιο Μπεγλέρι 
http://resources.live24.gr/resources/images/stations/3840c69b-78e8-4d22-a21d-a8be1dbc6d0e.png,/radio/generic.jsp?sid=2935,Διάφορα Ελληνικά,"[{'url': 'http://resources.live24.gr/resources/images/stations/3840c69b-78e8-4d22-a21d-a8be1dbc6d0e.png', 'checksum': '20178fc975304a3b06706f8a46ee8c56', 'path': 'full/d0997853e640fe6b1933d67f33aeff9c85e43170.jpg'}]",Ελληνική Ηχώ 
http://resources.live24.gr/resources/images/stations/721cbffd-e90d-4dcb-9cb6-523092f65041.png,/radio/generic.jsp?sid=2952,Ελληνική Mainstream,"[{'url': 'http://resources.live24.gr/resources/images/stations/721cbffd-e90d-4dcb-9cb6-523092f65041.png', 'checksum': '036873e0d3e97f7e9087b2dee98779de', 'path': 'full/a6f7fbd178d7fc137b5f378271ca61bda68fa6a8.jpg'}]",Ράδιο Κέφι 
http://resources.live24.gr/resources/images/stations/0ae1d163-0628-4606-a958-c52723b029f8.png,/radio/generic.jsp?sid=2946,Διάφορα Ελληνικά,"[{'url': 'http://resources.live24.gr/resources/images/stations/0ae1d163-0628-4606-a958-c52723b029f8.png', 'checksum': 'e87d7140cfa99f7f07d4893817c245f8', 'path': 'full/f7789c0a89d35721eb1136d63f5bb740216f27f3.jpg'}]",Ράδιο Θάλασσα 
http://resources.live24.gr/resources/images/stations/b71e0f3b-0f4d-4671-bb37-332003cbce59.png,/radio/generic.jsp?sid=2683,Παραδοσιακά Ελληνικά,"[{'url': 'http://resources.live24.gr/resources/images/stations/b71e0f3b-0f4d-4671-bb37-332003cbce59.png', 'checksum': '685276e673ff41468fea81adce58b64f', 'path': 'full/deaa312f0de14edfeb346673c2c82c0f40dd5f83.jpg'}]",Ακτίνα Ράδιο 
