station_url,genre,name,images,image_urls
/radio/generic.jsp?sid=1384,Λαϊκά,Ελληνικά Πανηγύρια Ράδιο ,"[{'path': 'full/454bab4520d60cdced13a256b87d8ec0dc8c10fc.jpg', 'checksum': 'fe60bb4653f3e1e4ccf3a6d83fd4247a', 'url': 'http://resources.live24.gr/resources/images/stations/04a1f64e-c80e-4200-bdc3-f2f18f99c16b.png'}]",http://resources.live24.gr/resources/images/stations/04a1f64e-c80e-4200-bdc3-f2f18f99c16b.png
/radio/generic.jsp?sid=2852,Λαϊκά,Έλληνες Ράδιο ,"[{'path': 'full/ebc19affa8f6f859a25f37da5e90462fc1dab940.jpg', 'checksum': '5a88db69bdf14e35102e9f7e12c5a0c2', 'url': 'http://resources.live24.gr/resources/images/stations/fbbcafbb-dec9-4d56-95c5-ffa9cfbe3b99.jpg'}]",http://resources.live24.gr/resources/images/stations/fbbcafbb-dec9-4d56-95c5-ffa9cfbe3b99.jpg
/radio/generic.jsp?sid=2560,Ελληνική Mainstream,Ελληνάδικο FM ,"[{'path': 'full/89b8222d974b95f6b49d4df37da993902840388d.jpg', 'checksum': 'aae80b317e706701f8a939a8fa431940', 'url': 'http://resources.live24.gr/resources/images/stations/ca728aea-c5f6-4f86-b510-102f00fce8fd.jpg'}]",http://resources.live24.gr/resources/images/stations/ca728aea-c5f6-4f86-b510-102f00fce8fd.jpg
/radio/generic.jsp?sid=2650,Ειδήσεις / Αθλητικά,Ελεύθερος Κόσμος ,"[{'path': 'full/128bb0d6bfbaefaa8cb1fa113dd51ea2c35ca2e7.jpg', 'checksum': '4d0e8d55c5ac8053082ce1cc0e22d472', 'url': 'http://resources.live24.gr/resources/images/stations/aaa89d4e-78d2-424c-b461-441185d8cae3.png'}]",http://resources.live24.gr/resources/images/stations/aaa89d4e-78d2-424c-b461-441185d8cae3.png
/radio/generic.jsp?sid=2628,Θρησκευτική,Εκκλησία Χριστιανών Ελλάδος ,"[{'path': 'full/b9f063231c07a278ab5fa1db16bd02414089284e.jpg', 'checksum': 'e1aa04b55a97574f2c011d393fc1e502', 'url': 'http://resources.live24.gr/resources/images/stations/c0757837-9002-4fc0-9144-cd50a0a56f9b.png'}]",http://resources.live24.gr/resources/images/stations/c0757837-9002-4fc0-9144-cd50a0a56f9b.png
/radio/generic.jsp?sid=2955,Διεθνής Μουσική,Ε.Ο.Ε Web Radio ,"[{'path': 'full/f912944e4fddec57e5dc64d7587cda54d5f76449.jpg', 'checksum': '87c8f16453a3a242ad49ffb976073239', 'url': 'http://resources.live24.gr/resources/images/stations/a7dde01f-3c8c-42c1-9f75-d54f5a61420d.png'}]",http://resources.live24.gr/resources/images/stations/a7dde01f-3c8c-42c1-9f75-d54f5a61420d.png
/radio/generic.jsp?sid=2856,Διεθνής Μουσική,Ε.Α.Π. Ράδιο ,"[{'path': 'full/d962c0cb8c0a8afef62724ed2ae461c9bf01c1db.jpg', 'checksum': '3d9772add43c380093c3d48907c78d51', 'url': 'http://resources.live24.gr/resources/images/stations/1f025a76-4623-4a8a-9ea4-587ee5727458.png'}]",http://resources.live24.gr/resources/images/stations/1f025a76-4623-4a8a-9ea4-587ee5727458.png
/radio/generic.jsp?sid=2942,POP,Δυτικά FM ,"[{'path': 'full/df20978a51c225b39e3907e6046b96fca36f219e.jpg', 'checksum': 'f0251858efef4b3ffdb27e2678406e64', 'url': 'http://resources.live24.gr/resources/images/stations/488b7350-ccce-4759-95e1-10c69f833427.png'}]",http://resources.live24.gr/resources/images/stations/488b7350-ccce-4759-95e1-10c69f833427.png
/radio/generic.jsp?sid=1877,Λαϊκά,Δρόμος Ράδιο ,"[{'path': 'full/6b02908b935d78c31b2fd68451d9b3c9d58b2109.jpg', 'checksum': '8ec89ede2ea5cb01f82f0cb5fa7e62d9', 'url': 'http://resources.live24.gr/resources/images/stations/c739be88-0681-4a47-bdb3-a7bd47ee98bd.jpg'}]",http://resources.live24.gr/resources/images/stations/c739be88-0681-4a47-bdb3-a7bd47ee98bd.jpg
/radio/generic.jsp?sid=2663,Διεθνής Μουσική,Διάφωνο Ράδιο ,"[{'path': 'full/a76f918ffb068af3b3a7f78d07cf6b0b3e8280ba.jpg', 'checksum': '4a8191bd5fa08e2dfb7e4cc199562fc6', 'url': 'http://resources.live24.gr/resources/images/stations/7b2241c0-bdc8-40d8-ad62-5e8cc6d63d13.png'}]",http://resources.live24.gr/resources/images/stations/7b2241c0-bdc8-40d8-ad62-5e8cc6d63d13.png
/radio/generic.jsp?sid=3036,Παραδοσιακά Ελληνικά,Δημοτικά Greek Radio ,"[{'path': 'full/85858b26bbd5a3493d4cbc8f0e67529588176808.jpg', 'checksum': 'e8af4f9d5300c9c03cff0b9b97249b35', 'url': 'http://resources.live24.gr/resources/images/stations/7990783f-5bfc-4052-8198-ce3d78c8dabf.png'}]",http://resources.live24.gr/resources/images/stations/7990783f-5bfc-4052-8198-ce3d78c8dabf.png
/radio/generic.jsp?sid=2636,Ελληνική Mainstream,Γκρικς Radio ,"[{'path': 'full/d0e6b172a037eaa071020a694c33314dfee8708b.jpg', 'checksum': '6bd1464f6b6d6f8f82499008a55f3e3e', 'url': 'http://resources.live24.gr/resources/images/stations/ba4b6465-5fb3-4507-a1a3-7a875de5edc9.png'}]",http://resources.live24.gr/resources/images/stations/ba4b6465-5fb3-4507-a1a3-7a875de5edc9.png
/radio/generic.jsp?sid=2449,Λαϊκά,Βόρειος Ήχος ,"[{'path': 'full/9d03b9cfac3b9a288218cdd1e99ac8826ca7a143.jpg', 'checksum': '21cfbb88c1ef346621fb2a0ac88025b5', 'url': 'http://resources.live24.gr/resources/images/stations/76f171db-8974-4571-90ec-018be7d29b02.jpg'}]",http://resources.live24.gr/resources/images/stations/76f171db-8974-4571-90ec-018be7d29b02.jpg
/radio/generic.jsp?sid=3091,Διάφορα Ελληνικά,Βιβλίο Life Radio ,"[{'path': 'full/0d1baecbb5425bd48a5bf6a1247d86a88ee386c7.jpg', 'checksum': '882a24ef59197833705e3db5e4411afc', 'url': 'http://resources.live24.gr/resources/images/stations/2778b301-6988-4f62-ac65-bacf5aa6cc5e.jpg'}]",http://resources.live24.gr/resources/images/stations/2778b301-6988-4f62-ac65-bacf5aa6cc5e.jpg
/radio/generic.jsp?sid=2569,Διάφορα Ελληνικά,Βαρυμπόμπη Club Radio ,"[{'path': 'full/afdc5800f3c41dbab92453747aece916c5810124.jpg', 'checksum': '9fbe12139c246e15ec2d9c1ae451148a', 'url': 'http://resources.live24.gr/resources/images/stations/03e283c2-a45e-44cf-b24c-b733b554d1ec.jpg'}]",http://resources.live24.gr/resources/images/stations/03e283c2-a45e-44cf-b24c-b733b554d1ec.jpg
/radio/generic.jsp?sid=2266,Λαϊκά,Βάρη FM ,"[{'path': 'full/e5b250f476bdd50727883a5c959c509cad2e6316.jpg', 'checksum': 'd7a8f5e5ba4a7db8472af0dc1c408cbe', 'url': 'http://resources.live24.gr/resources/images/stations/89a839b0-2f58-4e78-993b-cff8684e464d.png'}]",http://resources.live24.gr/resources/images/stations/89a839b0-2f58-4e78-993b-cff8684e464d.png
/radio/generic.jsp?sid=3020,Παραδοσιακά Ελληνικά,Αχέρων Ράδιο ,"[{'path': 'full/2d95387c6f39f21dc2a94521ae6fe527287dcff7.jpg', 'checksum': 'a6d182bb8c59840d827e1c5f4440d0d5', 'url': 'http://resources.live24.gr/resources/images/stations/35359121-1e7b-487c-9223-b8d105026d27.png'}]",http://resources.live24.gr/resources/images/stations/35359121-1e7b-487c-9223-b8d105026d27.png
/radio/generic.jsp?sid=2853,Διάφορα Ελληνικά,Αυτοκρατορία FM ,"[{'path': 'full/bb6e9fda595a8abcf762135e40b870e627ce6a75.jpg', 'checksum': 'dbe716b82b954caa626d4113a2d64f03', 'url': 'http://resources.live24.gr/resources/images/stations/260b1fb9-073f-43b0-a30d-064a7d49feea.jpg'}]",http://resources.live24.gr/resources/images/stations/260b1fb9-073f-43b0-a30d-064a7d49feea.jpg
/radio/generic.jsp?sid=2783,'Εντεχνα,Αυθεντικό web Radio ,"[{'path': 'full/a67d1e1844227371c413195cdb21d76182000e2d.jpg', 'checksum': '4c50a8342dfc1529c2184cc569895f58', 'url': 'http://resources.live24.gr/resources/images/stations/802f152d-90b8-4e42-9e9c-b42e2aef4379.png'}]",http://resources.live24.gr/resources/images/stations/802f152d-90b8-4e42-9e9c-b42e2aef4379.png
/radio/generic.jsp?sid=2350,Διάφορα Ελληνικά,Άστρο Music ,"[{'path': 'full/b05f6cbc098502e2d3fa8e411c6d87f5ec671626.jpg', 'checksum': 'fa8722f3a0a1f4ec02cf0ffc5c77ecf2', 'url': 'http://resources.live24.gr/resources/images/stations/92761a6c-2118-4e33-928b-9f08c43efcd0.jpg'}]",http://resources.live24.gr/resources/images/stations/92761a6c-2118-4e33-928b-9f08c43efcd0.jpg
/radio/generic.jsp?sid=2582,Λαϊκά,Άρωμα FM ,"[{'path': 'full/2e131122a55accdc54c4b8a33f1262d3a3d7618e.jpg', 'checksum': '16e05dfc993be18ea7a60e901568c862', 'url': 'http://resources.live24.gr/resources/images/stations/9192999a-5d24-4dd0-9566-5e718b0bedac.png'}]",http://resources.live24.gr/resources/images/stations/9192999a-5d24-4dd0-9566-5e718b0bedac.png
/radio/generic.jsp?sid=2429,Λαϊκά,Άρκτος FM ,"[{'path': 'full/97f36bf933300b8e28b42c1524ab2250bf942385.jpg', 'checksum': '71bb4fc1ff4fa4dd98a355138d66f892', 'url': 'http://resources.live24.gr/resources/images/stations/5a6aff6a-04a6-42f3-98d9-aab906ca9557.png'}]",http://resources.live24.gr/resources/images/stations/5a6aff6a-04a6-42f3-98d9-aab906ca9557.png
/radio/generic.jsp?sid=1601,Διεθνής Μουσική,Άνω Βριλήσσια Web Radio ,"[{'path': 'full/f87387b10dcb2f14e5fc361bb3c09de283c4d4f7.jpg', 'checksum': '99aec1d9f862ed993af02d8a5fcf030a', 'url': 'http://resources.live24.gr/resources/images/stations/e56b3bd1-3727-400f-86e7-9b98f653e6f0.jpg'}]",http://resources.live24.gr/resources/images/stations/e56b3bd1-3727-400f-86e7-9b98f653e6f0.jpg
/radio/generic.jsp?sid=1343,Διεθνής Μουσική,Ανδρομέδα NET ,"[{'path': 'full/acbf2837c3cd8ef74e8c1298b1751aea40b687a6.jpg', 'checksum': '6307f67cf7f5eb2b5c63ce9376d5c5e7', 'url': 'http://resources.live24.gr/resources/images/stations/5a30afb3-738d-4d5d-aff4-518677b23de9.png'}]",http://resources.live24.gr/resources/images/stations/5a30afb3-738d-4d5d-aff4-518677b23de9.png
/radio/generic.jsp?sid=1972,Ελληνική Mainstream,Ανάσες ,"[{'path': 'full/01832702a2e0e1815ebf394ec9e0ebd487ef8d88.jpg', 'checksum': 'da9f0fb0cdb0f1442a515f10d392bd57', 'url': 'http://resources.live24.gr/resources/images/stations/4ed9babc-76c2-4e14-b7d5-0cb678153b25.png'}]",http://resources.live24.gr/resources/images/stations/4ed9babc-76c2-4e14-b7d5-0cb678153b25.png
/radio/generic.jsp?sid=2575,Ελληνική Mainstream,Αναμνήσεις Ράδιο ,"[{'path': 'full/dc07b06699fd59b4d00d84f4a4a72cf85e235945.jpg', 'checksum': '9ab50a696590b035a5976be7ae04bf96', 'url': 'http://resources.live24.gr/resources/images/stations/65cbc7b4-1492-45b9-949c-187c3ae854df.png'}]",http://resources.live24.gr/resources/images/stations/65cbc7b4-1492-45b9-949c-187c3ae854df.png
